threshold,persistence_bars,persistence_s,delay_bars,delay_s,horizon_bars,horizon_s,cost,n_trades,trades_wk,mean_gross,mean_net,sharpe,win_rate
3.0,1,10,1,10,2,20,0.7,1046,28.16153846153846,0.6515296367112974,-0.04847036328870264,-0.006400547161051019,0.2925430210325048
3.0,1,10,1,10,3,30,0.3,999,26.896153846153844,0.592892892892914,0.2928928928929142,0.03263093905758195,0.4194194194194194
3.0,1,10,1,10,3,30,0.5,999,26.896153846153844,0.592892892892914,0.09289289289291411,0.01034911532653478,0.3783783783783784
3.0,1,10,1,10,3,30,0.7,999,26.896153846153844,0.592892892892914,-0.10710710710708597,-0.011932708404512394,0.3333333333333333
3.0,1,10,1,10,6,60,0.3,884,23.799999999999997,0.9664027149320727,0.6664027149320727,0.07142363770521949,0.47058823529411764
3.0,1,10,1,10,6,60,0.5,884,23.799999999999997,0.9664027149320727,0.46640271493207275,0.04998805945656251,0.4276018099547511
3.0,1,10,1,10,6,60,0.7,884,23.799999999999997,0.9664027149320727,0.2664027149320728,0.028552481207905534,0.3936651583710407
3.0,1,10,1,10,12,120,0.3,760,20.46153846153846,1.501710526315802,1.2017105263158019,0.11930594192680141,0.506578947368421
3.0,1,10,1,10,12,120,0.5,760,20.46153846153846,1.501710526315802,1.001710526315802,0.09944992180978222,0.48157894736842105
3.0,1,10,1,10,12,120,0.7,760,20.46153846153846,1.501710526315802,0.801710526315802,0.07959390169276304,0.45789473684210524
3.0,1,10,1,10,30,300,0.3,608,16.369230769230768,2.072039473684294,1.7720394736842944,0.1447574366112107,0.5575657894736842
3.0,1,10,1,10,30,300,0.5,608,16.369230769230768,2.072039473684294,1.5720394736842942,0.12841948943103398,0.5328947368421053
3.0,1,10,1,10,30,300,0.7,608,16.369230769230768,2.072039473684294,1.3720394736842945,0.11208154225085729,0.5164473684210527
3.5,0,0,0,0,1,10,0.3,5028,135.36923076923077,0.6522673031026098,0.3522673031026099,0.0798431242053615,0.5481304693715194
